seed,score,firstlayer,secondlayer,thirdlayer,epoch
0,264.660720014666,3,1,1,600
0,264.4449072114735,3,1,1,900
0,264.2309082328113,3,1,1,1200
0,157.05160236235574,3,1,1,1500
0,263.785284054909,3,1,1,1800
0,154.80908601458077,3,1,1,2100
0,153.23900721459597,3,1,1,2400
0,152.85051250200257,3,1,1,2700
0,262.91368654266205,3,1,1,3000
0,194.55815235502305,3,1,2,300
0,171.10265022298987,3,1,2,600
0,155.73370349362014,3,1,2,900
0,155.80789733848687,3,1,2,1200
0,153.83329189549272,3,1,2,1500
0,155.32998878378416,3,1,2,1800
0,263.5670553587622,3,1,2,2100
0,153.8836556243456,3,1,2,2400
0,154.40653725083718,3,1,2,2700
0,262.91688033636956,3,1,2,3000
0,191.64847871054286,3,1,3,300
0,174.55124264159258,3,1,3,600
0,156.3640281138752,3,1,3,900
0,156.83607269999962,3,1,3,1200
0,152.40391599476544,3,1,3,1500
0,157.42575620035947,3,1,3,1800
0,263.5670553587622,3,1,3,2100
0,153.98687803514105,3,1,3,2400
0,152.25915872138654,3,1,3,2700
0,262.91368654266205,3,1,3,3000
0,170.83081138070966,3,1,4,300
0,156.16273539548595,3,1,4,600
0,156.48801182353685,3,1,4,900
0,154.63641509877988,3,1,4,1200
0,153.78524182532422,3,1,4,1500
0,154.88921694078988,3,1,4,1800
0,154.05990597978294,3,1,4,2100
0,152.98423236914633,3,1,4,2400
0,152.7493146971065,3,1,4,2700
0,152.78428341084398,3,1,4,3000
